Name,Total Population,Total Households,Median Household Income (past 12 months),Same house 1 year ago,Geographical Mobility in past year,HH with Public assistance or Food Stamps/SNAP,Median Age,Per Capita Income,Total White alone,Total Black or African American alone,Total American Indian and Alaska Native alone,Total Asian alone,Total Native Hawaiian and Other Pacific Island alone,Some other race alone,Income in the past 12 months below Poverty Level,Two or more races,Median Yr Housing Blt,Median Yr HH moved into HH,Median Gross Rent ($),Median Value ($),Same house 1 year ago!!Below 100 percent of the poverty level,Same house 1 year ago!!100 to 149 percent of the poverty level,Same house 1 year ago!!At or above 150 percent of the poverty level,Same house 1 year ago (WHITE ALONE),Same house 1 year ago (BLACK OR AFRICAN AMERICAN ALONE),Same house 1 year ago (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Same house 1 year ago (ASIAN ALONE),Same house 1 year ago (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Same house 1 year ago (SOME OTHER RACE ALONE),Same house 1 year ago (TWO OR MORE RACES),B07004I_002E,MEANS OF TRANSPORTATION TO WORK total,"Total!!Car, truck, or van","Total!!Car, truck, or van!!Drove alone","Total!!Car, truck, or van!!Carpooled",Total!!Public transportation (excluding taxicab),Total!!Bicycle,Total!!Walked,Total!!Worked at home,Total!!Family households,Total!!Family households!!Married-couple family,Total!!Family households!!Other family,"Total!!Family households!!Other family!!Male householder, no wife present","Total!!Family households!!Other family!!Female householder, no husband present",Total!!Nonfamily households,Total!!Nonfamily households!!Householder living alone,Total!!Nonfamily households!!Householder not living alone,state,county,tract,Total!!Same house 1 year ago!!Less than high school graduate,Same house 1 year ago!!High school graduate (includes equivalency),Same house 1 year ago!!Some college or associate's degree,Same house 1 year ago!!Bachelor's degree,Same house 1 year ago!!Graduate or professional degree,Total!!Same house 1 year ago!!No income,Same house 1 year ago!!With income,"Same house 1 year ago!!With income!!$1 to $9,999 or loss","Same house 1 year ago!!With income!!$10,000 to $14,999","Same house 1 year ago!!With income!!$15,000 to $24,999","Same house 1 year ago!!With income!!$25,000 to $34,999","Same house 1 year ago!!With income!!$35,000 to $49,999","Same house 1 year ago!!With income!!$50,000 to $64,999","Same house 1 year ago!!With income!!$65,000 to $74,999","Same house 1 year ago!!With income!!$75,000 or more",Total!!With income,"Total!!With income!!$1 to $9,999 or loss","Total!!With income!!$10,000 to $14,999","Total!!With income!!$15,000 to $24,999","Total!!With income!!$25,000 to $34,999","Total!!With income!!$35,000 to $49,999","Total!!With income!!$50,000 to $64,999","Total!!With income!!$65,000 to $74,999","Total!!With income!!$75,000 or more",Total!!Below 100 percent of the poverty level,Total!!100 to 149 percent of the poverty level,Total!!At or above 150 percent of the poverty level,Same house 1 year ago!!1 to 4 years age,Same house 1 year ago!!5 to 17 years age,Same house 1 year ago!!18 and 19 years age,Same house 1 year ago!!20 to 24 years age,Same house 1 year ago!!25 to 29 years age,Same house 1 year ago!!30 to 34 yearsage,Same house 1 year ago!!35 to 39 years age,Same house 1 year ago!!40 to 44 years age,Same house 1 year ago!!45 to 49 years age,Same house 1 year ago!!50 to 54 years age,Same house 1 year ago!!55 to 59 years age,Same house 1 year ago!!60 to 64 years age,Same house 1 year ago!!65 to 69 years age,Same house 1 year ago!!70 to 74 years age,Same house 1 year ago!!75 years and over age,Total!!1 to 4 years,Total!!5 to 17 years,Total!!18 and 19 years,Total!!20 to 24 years,Total!!25 to 29 years,Total!!30 to 34 years,Total!!35 to 39 years,Total!!40 to 44 years,Total!!45 to 49 years,Total!!50 to 54 years,Total!!55 to 59 years,Total!!60 to 64 years,Total!!65 to 69 years,Total!!70 to 74 years,Total!!75 years and over,Total Male,Total Female,Gini Index of Inequality,year
"Census Tract 21.02, District of Columbia, District of Columbia",5064.0,1996.0,48636.527919379994,3953.0,4960.0,311.0,33.2,27148.17870632,529.0,3353.0,8.0,67.0,0.0,980.0,795.0,127.0,1943.0,2002.0,959.0,374900.0,529.0,287.0,3137.0,327.0,2754.0,8.0,67.0,0.0,783.0,14.0,907.0,2414.0,1416.0,1229.0,187.0,934.0,0.0,6.0,34.0,983.0,399.0,584.0,87.0,497.0,1013.0,855.0,158.0,11,001,002102,484.0,644.0,770.0,533.0,242.0,478.0,2827.0,505.0,167.0,428.0,644.0,409.0,288.0,95.0,291.0,589.0,619.0,177.0,515.0,725.0,572.0,393.0,201.0,291.0,795.0,366.0,3752.0,235.0,539.0,95.0,411.0,415.0,295.0,194.0,113.0,198.0,367.0,360.0,64.0,139.0,143.0,385.0,307.0,697.0,132.0,460.0,530.0,471.0,242.0,192.0,359.0,420.0,375.0,100.0,147.0,143.0,385.0,2128.0,2936.0,0.4085,2011
"Census Tract 21.02, District of Columbia, District of Columbia",4816.0,2046.0,49002.54894155,3775.0,4746.0,379.0,36.5,30829.98308862,410.0,3053.0,9.0,77.0,0.0,1200.0,919.0,67.0,1942.0,2002.0,944.0,373700.0,566.0,287.0,2922.0,272.0,2508.0,9.0,77.0,0.0,875.0,34.0,983.0,2462.0,1398.0,1262.0,136.0,963.0,11.0,36.0,20.0,972.0,315.0,657.0,108.0,549.0,1074.0,937.0,137.0,11,001,002102,474.0,661.0,662.0,576.0,351.0,451.0,2857.0,457.0,192.0,377.0,539.0,504.0,312.0,123.0,353.0,543.0,602.0,201.0,417.0,680.0,649.0,351.0,186.0,368.0,919.0,364.0,3436.0,152.0,429.0,87.0,383.0,447.0,195.0,179.0,192.0,253.0,366.0,384.0,53.0,175.0,126.0,354.0,225.0,639.0,124.0,432.0,544.0,295.0,263.0,271.0,380.0,434.0,392.0,77.0,190.0,126.0,354.0,1978.0,2838.0,0.4384,2012
"Census Tract 21.02, District of Columbia, District of Columbia",4901.0,2061.0,54138.72004026,3980.0,4824.0,363.0,35.2,34221.34601085,444.0,3131.0,8.0,35.0,0.0,1208.0,926.0,75.0,1939.0,2003.0,969.0,366300.0,584.0,354.0,3042.0,276.0,2619.0,8.0,35.0,0.0,1003.0,39.0,1122.0,2461.0,1429.0,1280.0,149.0,951.0,10.0,46.0,10.0,966.0,250.0,716.0,133.0,583.0,1095.0,922.0,173.0,11,001,002102,460.0,714.0,601.0,794.0,343.0,506.0,2955.0,460.0,162.0,331.0,607.0,497.0,313.0,175.0,410.0,582.0,591.0,171.0,339.0,657.0,655.0,363.0,189.0,496.0,926.0,362.0,3505.0,169.0,469.0,100.0,330.0,509.0,248.0,207.0,296.0,256.0,301.0,393.0,138.0,168.0,123.0,273.0,272.0,631.0,133.0,383.0,604.0,332.0,285.0,346.0,383.0,327.0,401.0,146.0,175.0,123.0,283.0,2122.0,2779.0,0.4611,2013
"Census Tract 21.02, District of Columbia, District of Columbia",4968.0,2055.0,51555.0,4118.0,4932.0,319.0,35.8,32499.0,485.0,3250.0,11.0,0.0,0.0,1140.0,1136.0,82.0,1939.0,2004.0,976.0,380400.0,802.0,366.0,2949.0,289.0,2784.0,11.0,0.0,0.0,990.0,44.0,1108.0,2325.0,1325.0,1212.0,113.0,902.0,23.0,46.0,17.0,967.0,279.0,688.0,156.0,532.0,1088.0,881.0,207.0,11,001,002102,276.0,838.0,644.0,658.0,560.0,616.0,2933.0,569.0,202.0,320.0,409.0,370.0,331.0,182.0,550.0,691.0,695.0,212.0,337.0,465.0,482.0,379.0,199.0,644.0,1136.0,374.0,3388.0,119.0,608.0,127.0,288.0,455.0,274.0,228.0,287.0,302.0,351.0,333.0,209.0,156.0,146.0,235.0,228.0,761.0,160.0,339.0,567.0,332.0,296.0,327.0,420.0,382.0,340.0,217.0,164.0,146.0,253.0,2219.0,2749.0,0.4899,2014
"Census Tract 21.02, District of Columbia, District of Columbia",4921.0,2139.0,65387.0,4124.0,4846.0,383.0,40.5,38372.0,551.0,3568.0,42.0,0.0,0.0,629.0,881.0,131.0,1939.0,2005.0,892.0,395300.0,709.0,103.0,3310.0,355.0,3167.0,17.0,0.0,0.0,480.0,105.0,566.0,2449.0,1475.0,1323.0,152.0,822.0,43.0,60.0,16.0,1012.0,297.0,715.0,153.0,562.0,1127.0,938.0,189.0,11,001,002102,224.0,828.0,817.0,737.0,654.0,493.0,3247.0,602.0,148.0,438.0,354.0,388.0,352.0,219.0,746.0,524.0,667.0,158.0,458.0,481.0,495.0,397.0,237.0,841.0,881.0,113.0,3818.0,55.0,520.0,68.0,221.0,396.0,323.0,235.0,377.0,357.0,415.0,325.0,246.0,170.0,155.0,261.0,144.0,638.0,68.0,239.0,504.0,434.0,321.0,408.0,410.0,448.0,373.0,246.0,177.0,155.0,281.0,2336.0,2585.0,0.4606,2015
"Census Tract 21.02, District of Columbia, District of Columbia",5076.0,2116.0,71528.0,4227.0,5020.0,314.0,41.8,42658.0,565.0,3586.0,57.0,34.0,0.0,728.0,705.0,106.0,1939.0,2007.0,1050.0,432700.0,591.0,77.0,3542.0,406.0,3116.0,33.0,7.0,0.0,559.0,106.0,652.0,2728.0,1711.0,1539.0,172.0,814.0,44.0,82.0,27.0,1035.0,414.0,621.0,175.0,446.0,1081.0,861.0,220.0,11,001,002102,340.0,813.0,669.0,843.0,739.0,420.0,3408.0,601.0,157.0,427.0,346.0,349.0,479.0,228.0,821.0,474.0,644.0,157.0,436.0,472.0,429.0,556.0,277.0,939.0,705.0,77.0,4175.0,33.0,496.0,35.0,259.0,354.0,325.0,188.0,448.0,485.0,404.0,324.0,268.0,155.0,165.0,288.0,125.0,689.0,39.0,268.0,443.0,443.0,269.0,509.0,559.0,407.0,368.0,268.0,162.0,165.0,306.0,2607.0,2469.0,0.4569,2016
"Census Tract 21.02, District of Columbia, District of Columbia",5264.0,2077.0,76836.0,4416.0,5216.0,308.0,41.0,41366.0,673.0,3795.0,82.0,38.0,0.0,582.0,689.0,94.0,1939.0,2007.0,1111.0,453200.0,659.0,91.0,3644.0,490.0,3242.0,46.0,8.0,0.0,536.0,94.0,716.0,2761.0,1783.0,1600.0,183.0,726.0,61.0,107.0,33.0,1050.0,480.0,570.0,151.0,419.0,1027.0,804.0,223.0,11,001,002102,415.0,707.0,774.0,897.0,776.0,443.0,3515.0,631.0,203.0,513.0,338.0,385.0,322.0,347.0,776.0,501.0,646.0,203.0,534.0,454.0,485.0,404.0,392.0,928.0,689.0,91.0,4349.0,73.0,516.0,28.0,230.0,401.0,372.0,172.0,494.0,472.0,333.0,331.0,326.0,128.0,183.0,357.0,190.0,658.0,31.0,265.0,526.0,530.0,228.0,559.0,502.0,340.0,370.0,326.0,128.0,183.0,380.0,2655.0,2609.0,0.4527,2017
"Census Tract 21.02, District of Columbia, District of Columbia",5223.0,1968.0,83167.0,4541.0,5171.0,318.0,40.6,40632.0,824.0,3449.0,98.0,40.0,0.0,648.0,861.0,164.0,0.0,2007.0,1177.0,501700.0,825.0,125.0,3567.0,624.0,3090.0,58.0,10.0,0.0,595.0,164.0,851.0,2553.0,1535.0,1346.0,189.0,724.0,87.0,100.0,51.0,1083.0,626.0,457.0,105.0,352.0,885.0,708.0,177.0,11,001,002102,450.0,569.0,731.0,808.0,939.0,526.0,3426.0,633.0,237.0,463.0,271.0,322.0,368.0,205.0,927.0,579.0,671.0,237.0,487.0,376.0,355.0,455.0,253.0,1064.0,861.0,125.0,4123.0,176.0,603.0,62.0,203.0,286.0,382.0,265.0,470.0,452.0,289.0,309.0,260.0,192.0,165.0,427.0,227.0,710.0,67.0,232.0,349.0,537.0,304.0,541.0,484.0,297.0,350.0,260.0,192.0,165.0,456.0,2525.0,2698.0,0.468,2018
"Census Tract 73.01, District of Columbia, District of Columbia",2664.0,769.0,69987.75421263,1349.0,2542.0,11.0,24.9,23775.170820599997,1718.0,561.0,0.0,121.0,0.0,145.0,35.0,119.0,1993,2005+,2001.0,-666666666.0,0.0,259.0,926.0,830.0,327.0,0.0,64.0,0.0,96.0,32.0,250.0,1187.0,835.0,754.0,81.0,65.0,16.0,131.0,111.0,734.0,648.0,86.0,9.0,77.0,35.0,25.0,10.0,11,001,007301,8.0,157.0,219.0,182.0,110.0,168.0,763.0,71.0,46.0,108.0,176.0,166.0,81.0,31.0,84.0,254.0,188.0,86.0,182.0,288.0,322.0,185.0,69.0,158.0,35.0,287.0,2012.0,140.0,299.0,42.0,192.0,243.0,87.0,140.0,120.0,51.0,24.0,0.0,0.0,0.0,0.0,11.0,382.0,464.0,76.0,296.0,566.0,156.0,290.0,178.0,63.0,53.0,7.0,0.0,0.0,0.0,11.0,1495.0,1169.0,0.28,2010
"Census Tract 73.01, District of Columbia, District of Columbia",2842.0,676.0,72329.64092969999,1773.0,2758.0,6.0,23.2,24700.48060231,1863.0,632.0,14.0,117.0,0.0,132.0,44.0,84.0,1993.0,2005.0,2001.0,-666666666.0,0.0,286.0,1074.0,1145.0,402.0,14.0,78.0,0.0,85.0,49.0,243.0,1544.0,890.0,747.0,143.0,81.0,16.0,219.0,325.0,626.0,571.0,55.0,9.0,46.0,50.0,23.0,27.0,11,001,007301,0.0,189.0,322.0,193.0,140.0,179.0,1096.0,79.0,110.0,156.0,279.0,194.0,112.0,36.0,130.0,268.0,183.0,172.0,287.0,380.0,325.0,174.0,90.0,158.0,44.0,313.0,1714.0,218.0,291.0,39.0,381.0,311.0,126.0,126.0,145.0,57.0,68.0,0.0,0.0,0.0,0.0,11.0,320.0,425.0,139.0,667.0,480.0,183.0,199.0,159.0,73.0,102.0,0.0,0.0,0.0,0.0,11.0,1747.0,1095.0,0.276,2011
